studyid,workflowid,gsm_version,param,index,value,gsm_analysis_date,snapshot_date
AA-AA-000-0000,kri0009,1.4.1,vThreshold,1,-3,2003-12-01,2003-12-01
AA-AA-000-0000,kri0009,1.4.1,vThreshold,2,-2,2003-12-01,2003-12-01
AA-AA-000-0000,kri0009,1.4.1,vThreshold,3,2,2003-12-01,2003-12-01
AA-AA-000-0000,kri0009,1.4.1,vThreshold,4,3,2003-12-01,2003-12-01
AA-AA-000-0000,kri0009,1.4.1,strMethod,,NormalApprox,2003-12-01,2003-12-01
AA-AA-000-0000,kri0010,1.4.1,vThreshold,1,-3,2003-12-01,2003-12-01
AA-AA-000-0000,kri0010,1.4.1,vThreshold,2,-2,2003-12-01,2003-12-01
AA-AA-000-0000,kri0010,1.4.1,vThreshold,3,2,2003-12-01,2003-12-01
AA-AA-000-0000,kri0010,1.4.1,vThreshold,4,3,2003-12-01,2003-12-01
AA-AA-000-0000,kri0010,1.4.1,strMethod,,NormalApprox,2003-12-01,2003-12-01
AA-AA-000-0000,kri0011,1.4.1,vThreshold,1,-3,2003-12-01,2003-12-01
AA-AA-000-0000,kri0011,1.4.1,vThreshold,2,-2,2003-12-01,2003-12-01
AA-AA-000-0000,kri0011,1.4.1,vThreshold,3,2,2003-12-01,2003-12-01
AA-AA-000-0000,kri0011,1.4.1,vThreshold,4,3,2003-12-01,2003-12-01
AA-AA-000-0000,kri0011,1.4.1,strMethod,,NormalApprox,2003-12-01,2003-12-01
AA-AA-000-0000,kri0012,1.4.1,vThreshold,1,-3,2003-12-01,2003-12-01
AA-AA-000-0000,kri0012,1.4.1,vThreshold,2,-2.2,2003-12-01,2003-12-01
AA-AA-000-0000,kri0012,1.4.1,vThreshold,3,2,2003-12-01,2003-12-01
AA-AA-000-0000,kri0012,1.4.1,vThreshold,4,3,2003-12-01,2003-12-01
AA-AA-000-0000,kri0012,1.4.1,strMethod,,NormalApprox,2003-12-01,2003-12-01
AA-AA-000-0000,cou0001,1.4.1,vThreshold,1,-3,2003-12-01,2003-12-01
AA-AA-000-0000,cou0001,1.4.1,vThreshold,2,-2,2003-12-01,2003-12-01
AA-AA-000-0000,cou0001,1.4.1,vThreshold,3,2,2003-12-01,2003-12-01
AA-AA-000-0000,cou0001,1.4.1,vThreshold,4,3,2003-12-01,2003-12-01
AA-AA-000-0000,cou0001,1.4.1,strMethod,,NormalApprox,2003-12-01,2003-12-01
AA-AA-000-0000,cou0002,1.4.1,vThreshold,1,-3,2003-12-01,2003-12-01
AA-AA-000-0000,cou0002,1.4.1,vThreshold,2,-2,2003-12-01,2003-12-01
AA-AA-000-0000,cou0002,1.4.1,vThreshold,3,2,2003-12-01,2003-12-01
AA-AA-000-0000,cou0002,1.4.1,vThreshold,4,3,2003-12-01,2003-12-01
AA-AA-000-0000,cou0002,1.4.1,strMethod,,NormalApprox,2003-12-01,2003-12-01
AA-AA-000-0000,cou0003,1.4.1,vThreshold,1,-3,2003-12-01,2003-12-01
AA-AA-000-0000,cou0003,1.4.1,vThreshold,2,-2,2003-12-01,2003-12-01
AA-AA-000-0000,cou0003,1.4.1,vThreshold,3,2,2003-12-01,2003-12-01
AA-AA-000-0000,cou0003,1.4.1,vThreshold,4,3,2003-12-01,2003-12-01
AA-AA-000-0000,cou0003,1.4.1,strMethod,,NormalApprox,2003-12-01,2003-12-01
AA-AA-000-0000,cou0004,1.4.1,vThreshold,1,-3,2003-12-01,2003-12-01
AA-AA-000-0000,cou0004,1.4.1,vThreshold,2,-2,2003-12-01,2003-12-01
AA-AA-000-0000,cou0004,1.4.1,vThreshold,3,2,2003-12-01,2003-12-01
AA-AA-000-0000,cou0004,1.4.1,vThreshold,4,3,2003-12-01,2003-12-01
AA-AA-000-0000,cou0004,1.4.1,strMethod,,NormalApprox,2003-12-01,2003-12-01
AA-AA-000-0000,cou0005,1.4.1,vThreshold,1,-3,2003-12-01,2003-12-01
AA-AA-000-0000,cou0005,1.4.1,vThreshold,2,-2,2003-12-01,2003-12-01
AA-AA-000-0000,cou0005,1.4.1,vThreshold,3,2,2003-12-01,2003-12-01
AA-AA-000-0000,cou0005,1.4.1,vThreshold,4,3,2003-12-01,2003-12-01
AA-AA-000-0000,cou0005,1.4.1,strMethod,,NormalApprox,2003-12-01,2003-12-01
AA-AA-000-0000,cou0006,1.4.1,vThreshold,1,-3,2003-12-01,2003-12-01
AA-AA-000-0000,cou0006,1.4.1,vThreshold,2,-2.2,2003-12-01,2003-12-01
AA-AA-000-0000,cou0006,1.4.1,vThreshold,3,2,2003-12-01,2003-12-01
AA-AA-000-0000,cou0006,1.4.1,vThreshold,4,3,2003-12-01,2003-12-01
AA-AA-000-0000,cou0006,1.4.1,strMethod,,NormalApprox,2003-12-01,2003-12-01
AA-AA-000-0000,cou0007,1.4.1,vThreshold,1,-3,2003-12-01,2003-12-01
AA-AA-000-0000,cou0007,1.4.1,vThreshold,2,-2,2003-12-01,2003-12-01
AA-AA-000-0000,cou0007,1.4.1,vThreshold,3,2,2003-12-01,2003-12-01
AA-AA-000-0000,cou0007,1.4.1,vThreshold,4,3,2003-12-01,2003-12-01
AA-AA-000-0000,cou0007,1.4.1,strMethod,,NormalApprox,2003-12-01,2003-12-01
AA-AA-000-0000,cou0008,1.4.1,vThreshold,1,-3,2003-12-01,2003-12-01
AA-AA-000-0000,cou0008,1.4.1,vThreshold,2,-2,2003-12-01,2003-12-01
AA-AA-000-0000,cou0008,1.4.1,vThreshold,3,2,2003-12-01,2003-12-01
AA-AA-000-0000,cou0008,1.4.1,vThreshold,4,3,2003-12-01,2003-12-01
AA-AA-000-0000,cou0008,1.4.1,strMethod,,NormalApprox,2003-12-01,2003-12-01
AA-AA-000-0000,cou0009,1.4.1,vThreshold,1,-3,2003-12-01,2003-12-01
AA-AA-000-0000,cou0009,1.4.1,vThreshold,2,-2,2003-12-01,2003-12-01
AA-AA-000-0000,cou0009,1.4.1,vThreshold,3,2,2003-12-01,2003-12-01
AA-AA-000-0000,cou0009,1.4.1,vThreshold,4,3,2003-12-01,2003-12-01
AA-AA-000-0000,cou0009,1.4.1,strMethod,,NormalApprox,2003-12-01,2003-12-01
AA-AA-000-0000,cou0010,1.4.1,vThreshold,1,-3,2003-12-01,2003-12-01
AA-AA-000-0000,cou0010,1.4.1,vThreshold,2,-2,2003-12-01,2003-12-01
AA-AA-000-0000,cou0010,1.4.1,vThreshold,3,2,2003-12-01,2003-12-01
AA-AA-000-0000,cou0010,1.4.1,vThreshold,4,3,2003-12-01,2003-12-01
AA-AA-000-0000,cou0010,1.4.1,strMethod,,NormalApprox,2003-12-01,2003-12-01
AA-AA-000-0000,cou0011,1.4.1,vThreshold,1,-3,2003-12-01,2003-12-01
AA-AA-000-0000,cou0011,1.4.1,vThreshold,2,-2,2003-12-01,2003-12-01
AA-AA-000-0000,cou0011,1.4.1,vThreshold,3,2,2003-12-01,2003-12-01
AA-AA-000-0000,cou0011,1.4.1,vThreshold,4,3,2003-12-01,2003-12-01
AA-AA-000-0000,cou0011,1.4.1,strMethod,,NormalApprox,2003-12-01,2003-12-01
AA-AA-000-0000,cou0012,1.4.1,vThreshold,1,-3,2003-12-01,2003-12-01
AA-AA-000-0000,cou0012,1.4.1,vThreshold,2,-2,2003-12-01,2003-12-01
AA-AA-000-0000,cou0012,1.4.1,vThreshold,3,2.2,2003-12-01,2003-12-01
AA-AA-000-0000,cou0012,1.4.1,vThreshold,4,3,2003-12-01,2003-12-01
AA-AA-000-0000,cou0012,1.4.1,strMethod,,NormalApprox,2003-12-01,2003-12-01
AA-AA-000-0000,qtl0004,1.4.1,vThreshold,1,0.01,2003-12-01,2003-12-01
AA-AA-000-0000,qtl0004,1.4.1,strMethod,,qtl,2003-12-01,2003-12-01
AA-AA-000-0000,qtl0006,1.4.1,vThreshold,1,0.2,2003-12-01,2003-12-01
AA-AA-000-0000,qtl0006,1.4.1,strMethod,,qtl,2003-12-01,2003-12-01
AA-AA-000-0000,kri0001,1.4.1,vThreshold,1,-3,2004-03-01,2004-03-01
AA-AA-000-0000,kri0001,1.4.1,vThreshold,2,-2.2,2004-03-01,2004-03-01
AA-AA-000-0000,kri0001,1.4.1,vThreshold,3,2,2004-03-01,2004-03-01
AA-AA-000-0000,kri0001,1.4.1,vThreshold,4,3,2004-03-01,2004-03-01
AA-AA-000-0000,kri0001,1.4.1,strMethod,,NormalApprox,2004-03-01,2004-03-01
AA-AA-000-0000,kri0002,1.4.1,vThreshold,1,-3,2004-03-01,2004-03-01
AA-AA-000-0000,kri0002,1.4.1,vThreshold,2,-2,2004-03-01,2004-03-01
AA-AA-000-0000,kri0002,1.4.1,vThreshold,3,2,2004-03-01,2004-03-01
AA-AA-000-0000,kri0002,1.4.1,vThreshold,4,3,2004-03-01,2004-03-01
AA-AA-000-0000,kri0002,1.4.1,strMethod,,NormalApprox,2004-03-01,2004-03-01
AA-AA-000-0000,kri0003,1.4.1,vThreshold,1,-3,2004-03-01,2004-03-01
AA-AA-000-0000,kri0003,1.4.1,vThreshold,2,-2,2004-03-01,2004-03-01
AA-AA-000-0000,kri0003,1.4.1,vThreshold,3,2,2004-03-01,2004-03-01
AA-AA-000-0000,kri0003,1.4.1,vThreshold,4,3,2004-03-01,2004-03-01
AA-AA-000-0000,kri0003,1.4.1,strMethod,,NormalApprox,2004-03-01,2004-03-01
AA-AA-000-0000,kri0004,1.4.1,vThreshold,1,-3,2004-03-01,2004-03-01
AA-AA-000-0000,kri0004,1.4.1,vThreshold,2,-2,2004-03-01,2004-03-01
AA-AA-000-0000,kri0004,1.4.1,vThreshold,3,2,2004-03-01,2004-03-01
AA-AA-000-0000,kri0004,1.4.1,vThreshold,4,3,2004-03-01,2004-03-01
AA-AA-000-0000,kri0004,1.4.1,strMethod,,NormalApprox,2004-03-01,2004-03-01
AA-AA-000-0000,kri0005,1.4.1,vThreshold,1,-3,2004-03-01,2004-03-01
AA-AA-000-0000,kri0005,1.4.1,vThreshold,2,-2,2004-03-01,2004-03-01
AA-AA-000-0000,kri0005,1.4.1,vThreshold,3,2.2,2004-03-01,2004-03-01
AA-AA-000-0000,kri0005,1.4.1,vThreshold,4,3,2004-03-01,2004-03-01
AA-AA-000-0000,kri0005,1.4.1,strMethod,,NormalApprox,2004-03-01,2004-03-01
AA-AA-000-0000,kri0006,1.4.1,vThreshold,1,-3.3,2004-03-01,2004-03-01
AA-AA-000-0000,kri0006,1.4.1,vThreshold,2,-2.2,2004-03-01,2004-03-01
AA-AA-000-0000,kri0006,1.4.1,vThreshold,3,2,2004-03-01,2004-03-01
AA-AA-000-0000,kri0006,1.4.1,vThreshold,4,3,2004-03-01,2004-03-01
AA-AA-000-0000,kri0006,1.4.1,strMethod,,NormalApprox,2004-03-01,2004-03-01
AA-AA-000-0000,kri0007,1.4.1,vThreshold,1,-3,2004-03-01,2004-03-01
AA-AA-000-0000,kri0007,1.4.1,vThreshold,2,-2,2004-03-01,2004-03-01
AA-AA-000-0000,kri0007,1.4.1,vThreshold,3,2,2004-03-01,2004-03-01
AA-AA-000-0000,kri0007,1.4.1,vThreshold,4,3.3,2004-03-01,2004-03-01
AA-AA-000-0000,kri0007,1.4.1,strMethod,,NormalApprox,2004-03-01,2004-03-01
AA-AA-000-0000,kri0008,1.4.1,vThreshold,1,-3,2004-03-01,2004-03-01
AA-AA-000-0000,kri0008,1.4.1,vThreshold,2,-2,2004-03-01,2004-03-01
AA-AA-000-0000,kri0008,1.4.1,vThreshold,3,2,2004-03-01,2004-03-01
AA-AA-000-0000,kri0008,1.4.1,vThreshold,4,3,2004-03-01,2004-03-01
AA-AA-000-0000,kri0008,1.4.1,strMethod,,NormalApprox,2004-03-01,2004-03-01
AA-AA-000-0000,kri0009,1.4.1,vThreshold,1,-3,2004-03-01,2004-03-01
AA-AA-000-0000,kri0009,1.4.1,vThreshold,2,-2,2004-03-01,2004-03-01
AA-AA-000-0000,kri0009,1.4.1,vThreshold,3,2,2004-03-01,2004-03-01
AA-AA-000-0000,kri0009,1.4.1,vThreshold,4,3,2004-03-01,2004-03-01
AA-AA-000-0000,kri0009,1.4.1,strMethod,,NormalApprox,2004-03-01,2004-03-01
AA-AA-000-0000,kri0010,1.4.1,vThreshold,1,-3,2004-03-01,2004-03-01
AA-AA-000-0000,kri0010,1.4.1,vThreshold,2,-2,2004-03-01,2004-03-01
AA-AA-000-0000,kri0010,1.4.1,vThreshold,3,2,2004-03-01,2004-03-01
AA-AA-000-0000,kri0010,1.4.1,vThreshold,4,3,2004-03-01,2004-03-01
AA-AA-000-0000,kri0010,1.4.1,strMethod,,NormalApprox,2004-03-01,2004-03-01
AA-AA-000-0000,kri0011,1.4.1,vThreshold,1,-3,2004-03-01,2004-03-01
AA-AA-000-0000,kri0011,1.4.1,vThreshold,2,-2,2004-03-01,2004-03-01
AA-AA-000-0000,kri0011,1.4.1,vThreshold,3,2,2004-03-01,2004-03-01
AA-AA-000-0000,kri0011,1.4.1,vThreshold,4,3,2004-03-01,2004-03-01
AA-AA-000-0000,kri0011,1.4.1,strMethod,,NormalApprox,2004-03-01,2004-03-01
AA-AA-000-0000,kri0012,1.4.1,vThreshold,1,-3,2004-03-01,2004-03-01
AA-AA-000-0000,kri0012,1.4.1,vThreshold,2,-2.42,2004-03-01,2004-03-01
AA-AA-000-0000,kri0012,1.4.1,vThreshold,3,2,2004-03-01,2004-03-01
AA-AA-000-0000,kri0012,1.4.1,vThreshold,4,3,2004-03-01,2004-03-01
AA-AA-000-0000,kri0012,1.4.1,strMethod,,NormalApprox,2004-03-01,2004-03-01
AA-AA-000-0000,cou0001,1.4.1,vThreshold,1,-3,2004-03-01,2004-03-01
AA-AA-000-0000,cou0001,1.4.1,vThreshold,2,-2,2004-03-01,2004-03-01
AA-AA-000-0000,cou0001,1.4.1,vThreshold,3,2,2004-03-01,2004-03-01
AA-AA-000-0000,cou0001,1.4.1,vThreshold,4,3,2004-03-01,2004-03-01
AA-AA-000-0000,cou0001,1.4.1,strMethod,,NormalApprox,2004-03-01,2004-03-01
AA-AA-000-0000,cou0002,1.4.1,vThreshold,1,-3,2004-03-01,2004-03-01
AA-AA-000-0000,cou0002,1.4.1,vThreshold,2,-2,2004-03-01,2004-03-01
AA-AA-000-0000,cou0002,1.4.1,vThreshold,3,2,2004-03-01,2004-03-01
AA-AA-000-0000,cou0002,1.4.1,vThreshold,4,3,2004-03-01,2004-03-01
AA-AA-000-0000,cou0002,1.4.1,strMethod,,NormalApprox,2004-03-01,2004-03-01
AA-AA-000-0000,cou0003,1.4.1,vThreshold,1,-3,2004-03-01,2004-03-01
AA-AA-000-0000,cou0003,1.4.1,vThreshold,2,-2,2004-03-01,2004-03-01
AA-AA-000-0000,cou0003,1.4.1,vThreshold,3,2,2004-03-01,2004-03-01
AA-AA-000-0000,cou0003,1.4.1,vThreshold,4,3,2004-03-01,2004-03-01
AA-AA-000-0000,cou0003,1.4.1,strMethod,,NormalApprox,2004-03-01,2004-03-01
AA-AA-000-0000,cou0004,1.4.1,vThreshold,1,-3,2004-03-01,2004-03-01
AA-AA-000-0000,cou0004,1.4.1,vThreshold,2,-2,2004-03-01,2004-03-01
AA-AA-000-0000,cou0004,1.4.1,vThreshold,3,2,2004-03-01,2004-03-01
AA-AA-000-0000,cou0004,1.4.1,vThreshold,4,3.3,2004-03-01,2004-03-01
AA-AA-000-0000,cou0004,1.4.1,strMethod,,NormalApprox,2004-03-01,2004-03-01
AA-AA-000-0000,cou0005,1.4.1,vThreshold,1,-3,2004-03-01,2004-03-01
AA-AA-000-0000,cou0005,1.4.1,vThreshold,2,-2,2004-03-01,2004-03-01
AA-AA-000-0000,cou0005,1.4.1,vThreshold,3,2.2,2004-03-01,2004-03-01
AA-AA-000-0000,cou0005,1.4.1,vThreshold,4,3,2004-03-01,2004-03-01
AA-AA-000-0000,cou0005,1.4.1,strMethod,,NormalApprox,2004-03-01,2004-03-01
AA-AA-000-0000,cou0006,1.4.1,vThreshold,1,-3,2004-03-01,2004-03-01
AA-AA-000-0000,cou0006,1.4.1,vThreshold,2,-2.2,2004-03-01,2004-03-01
AA-AA-000-0000,cou0006,1.4.1,vThreshold,3,2,2004-03-01,2004-03-01
AA-AA-000-0000,cou0006,1.4.1,vThreshold,4,3,2004-03-01,2004-03-01
AA-AA-000-0000,cou0006,1.4.1,strMethod,,NormalApprox,2004-03-01,2004-03-01
AA-AA-000-0000,cou0007,1.4.1,vThreshold,1,-3,2004-03-01,2004-03-01
AA-AA-000-0000,cou0007,1.4.1,vThreshold,2,-2,2004-03-01,2004-03-01
AA-AA-000-0000,cou0007,1.4.1,vThreshold,3,2,2004-03-01,2004-03-01
AA-AA-000-0000,cou0007,1.4.1,vThreshold,4,3,2004-03-01,2004-03-01
AA-AA-000-0000,cou0007,1.4.1,strMethod,,NormalApprox,2004-03-01,2004-03-01
AA-AA-000-0000,cou0008,1.4.1,vThreshold,1,-3,2004-03-01,2004-03-01
AA-AA-000-0000,cou0008,1.4.1,vThreshold,2,-2,2004-03-01,2004-03-01
AA-AA-000-0000,cou0008,1.4.1,vThreshold,3,2,2004-03-01,2004-03-01
AA-AA-000-0000,cou0008,1.4.1,vThreshold,4,3,2004-03-01,2004-03-01
AA-AA-000-0000,cou0008,1.4.1,strMethod,,NormalApprox,2004-03-01,2004-03-01
AA-AA-000-0000,cou0009,1.4.1,vThreshold,1,-3,2004-03-01,2004-03-01
AA-AA-000-0000,cou0009,1.4.1,vThreshold,2,-2,2004-03-01,2004-03-01
AA-AA-000-0000,cou0009,1.4.1,vThreshold,3,2.2,2004-03-01,2004-03-01
AA-AA-000-0000,cou0009,1.4.1,vThreshold,4,3,2004-03-01,2004-03-01
AA-AA-000-0000,cou0009,1.4.1,strMethod,,NormalApprox,2004-03-01,2004-03-01
AA-AA-000-0000,cou0010,1.4.1,vThreshold,1,-3,2004-03-01,2004-03-01
AA-AA-000-0000,cou0010,1.4.1,vThreshold,2,-2,2004-03-01,2004-03-01
AA-AA-000-0000,cou0010,1.4.1,vThreshold,3,2,2004-03-01,2004-03-01
AA-AA-000-0000,cou0010,1.4.1,vThreshold,4,3,2004-03-01,2004-03-01
AA-AA-000-0000,cou0010,1.4.1,strMethod,,NormalApprox,2004-03-01,2004-03-01
AA-AA-000-0000,cou0011,1.4.1,vThreshold,1,-3,2004-03-01,2004-03-01
AA-AA-000-0000,cou0011,1.4.1,vThreshold,2,-2,2004-03-01,2004-03-01
AA-AA-000-0000,cou0011,1.4.1,vThreshold,3,2,2004-03-01,2004-03-01
AA-AA-000-0000,cou0011,1.4.1,vThreshold,4,3,2004-03-01,2004-03-01
AA-AA-000-0000,cou0011,1.4.1,strMethod,,NormalApprox,2004-03-01,2004-03-01
AA-AA-000-0000,cou0012,1.4.1,vThreshold,1,-3,2004-03-01,2004-03-01
AA-AA-000-0000,cou0012,1.4.1,vThreshold,2,-2,2004-03-01,2004-03-01
AA-AA-000-0000,cou0012,1.4.1,vThreshold,3,2.2,2004-03-01,2004-03-01
AA-AA-000-0000,cou0012,1.4.1,vThreshold,4,3,2004-03-01,2004-03-01
AA-AA-000-0000,cou0012,1.4.1,strMethod,,NormalApprox,2004-03-01,2004-03-01
AA-AA-000-0000,qtl0004,1.4.1,vThreshold,1,0.01,2004-03-01,2004-03-01
AA-AA-000-0000,qtl0004,1.4.1,strMethod,,qtl,2004-03-01,2004-03-01
AA-AA-000-0000,qtl0006,1.4.1,vThreshold,1,0.2,2004-03-01,2004-03-01
AA-AA-000-0000,qtl0006,1.4.1,strMethod,,qtl,2004-03-01,2004-03-01
AA-AA-000-0000,kri0001,1.4.1,vThreshold,1,-2.7,2004-06-01,2004-06-01
AA-AA-000-0000,kri0001,1.4.1,vThreshold,2,-2.2,2004-06-01,2004-06-01
AA-AA-000-0000,kri0001,1.4.1,vThreshold,3,2,2004-06-01,2004-06-01
AA-AA-000-0000,kri0001,1.4.1,vThreshold,4,3,2004-06-01,2004-06-01
AA-AA-000-0000,kri0001,1.4.1,strMethod,,NormalApprox,2004-06-01,2004-06-01
AA-AA-000-0000,kri0002,1.4.1,vThreshold,1,-3,2004-06-01,2004-06-01
AA-AA-000-0000,kri0002,1.4.1,vThreshold,2,-2,2004-06-01,2004-06-01
AA-AA-000-0000,kri0002,1.4.1,vThreshold,3,2,2004-06-01,2004-06-01
AA-AA-000-0000,kri0002,1.4.1,vThreshold,4,3,2004-06-01,2004-06-01
AA-AA-000-0000,kri0002,1.4.1,strMethod,,NormalApprox,2004-06-01,2004-06-01
AA-AA-000-0000,kri0003,1.4.1,vThreshold,1,-3,2004-06-01,2004-06-01
AA-AA-000-0000,kri0003,1.4.1,vThreshold,2,-2,2004-06-01,2004-06-01
AA-AA-000-0000,kri0003,1.4.1,vThreshold,3,2,2004-06-01,2004-06-01
AA-AA-000-0000,kri0003,1.4.1,vThreshold,4,3,2004-06-01,2004-06-01
AA-AA-000-0000,kri0003,1.4.1,strMethod,,NormalApprox,2004-06-01,2004-06-01
AA-AA-000-0000,kri0004,1.4.1,vThreshold,1,-2.7,2004-06-01,2004-06-01
AA-AA-000-0000,kri0004,1.4.1,vThreshold,2,-2,2004-06-01,2004-06-01
AA-AA-000-0000,kri0004,1.4.1,vThreshold,3,2,2004-06-01,2004-06-01
AA-AA-000-0000,kri0004,1.4.1,vThreshold,4,2.7,2004-06-01,2004-06-01
AA-AA-000-0000,kri0004,1.4.1,strMethod,,NormalApprox,2004-06-01,2004-06-01
AA-AA-000-0000,kri0005,1.4.1,vThreshold,1,-3,2004-06-01,2004-06-01
AA-AA-000-0000,kri0005,1.4.1,vThreshold,2,-2,2004-06-01,2004-06-01
AA-AA-000-0000,kri0005,1.4.1,vThreshold,3,2.2,2004-06-01,2004-06-01
AA-AA-000-0000,kri0005,1.4.1,vThreshold,4,3,2004-06-01,2004-06-01
AA-AA-000-0000,kri0005,1.4.1,strMethod,,NormalApprox,2004-06-01,2004-06-01
AA-AA-000-0000,kri0006,1.4.1,vThreshold,1,-3.3,2004-06-01,2004-06-01
AA-AA-000-0000,kri0006,1.4.1,vThreshold,2,-2.2,2004-06-01,2004-06-01
AA-AA-000-0000,kri0006,1.4.1,vThreshold,3,2,2004-06-01,2004-06-01
AA-AA-000-0000,kri0006,1.4.1,vThreshold,4,3,2004-06-01,2004-06-01
AA-AA-000-0000,kri0006,1.4.1,strMethod,,NormalApprox,2004-06-01,2004-06-01
AA-AA-000-0000,kri0007,1.4.1,vThreshold,1,-3,2004-06-01,2004-06-01
AA-AA-000-0000,kri0007,1.4.1,vThreshold,2,-2,2004-06-01,2004-06-01
AA-AA-000-0000,kri0007,1.4.1,vThreshold,3,2,2004-06-01,2004-06-01
AA-AA-000-0000,kri0007,1.4.1,vThreshold,4,2.97,2004-06-01,2004-06-01
AA-AA-000-0000,kri0007,1.4.1,strMethod,,NormalApprox,2004-06-01,2004-06-01
AA-AA-000-0000,kri0008,1.4.1,vThreshold,1,-3,2004-06-01,2004-06-01
AA-AA-000-0000,kri0008,1.4.1,vThreshold,2,-2,2004-06-01,2004-06-01
AA-AA-000-0000,kri0008,1.4.1,vThreshold,3,2,2004-06-01,2004-06-01
AA-AA-000-0000,kri0008,1.4.1,vThreshold,4,3,2004-06-01,2004-06-01
AA-AA-000-0000,kri0008,1.4.1,strMethod,,NormalApprox,2004-06-01,2004-06-01
AA-AA-000-0000,kri0009,1.4.1,vThreshold,1,-3,2004-06-01,2004-06-01
AA-AA-000-0000,kri0009,1.4.1,vThreshold,2,-2,2004-06-01,2004-06-01
AA-AA-000-0000,kri0009,1.4.1,vThreshold,3,2,2004-06-01,2004-06-01
AA-AA-000-0000,kri0009,1.4.1,vThreshold,4,3,2004-06-01,2004-06-01
AA-AA-000-0000,kri0009,1.4.1,strMethod,,NormalApprox,2004-06-01,2004-06-01
AA-AA-000-0000,kri0010,1.4.1,vThreshold,1,-3,2004-06-01,2004-06-01
AA-AA-000-0000,kri0010,1.4.1,vThreshold,2,-2,2004-06-01,2004-06-01
