studyid,workflowid,snapshot_date,n,n_at_risk,n_flagged
AA-AA-000-0000,cou0002,2004-12-01,3,0,0
AA-AA-000-0000,cou0002,2005-03-01,3,0,0
AA-AA-000-0000,cou0002,2005-06-01,3,0,0
AA-AA-000-0000,cou0002,2005-09-01,3,0,0
AA-AA-000-0000,cou0002,2005-12-01,3,0,0
AA-AA-000-0000,cou0002,2006-03-01,3,0,0
AA-AA-000-0000,cou0002,2006-06-01,3,0,0
AA-AA-000-0000,cou0002,2006-09-01,3,0,0
AA-AA-000-0000,cou0002,2006-12-01,3,0,0
AA-AA-000-0000,cou0002,2007-03-01,3,0,0
AA-AA-000-0000,cou0002,2007-06-01,3,0,0
AA-AA-000-0000,cou0002,2007-09-01,3,0,0
AA-AA-000-0000,cou0002,2007-12-01,3,0,0
AA-AA-000-0000,cou0002,2008-03-01,3,0,0
AA-AA-000-0000,cou0002,2008-06-01,3,0,0
AA-AA-000-0000,cou0002,2008-09-01,3,0,0
AA-AA-000-0000,cou0002,2008-12-01,3,0,0
AA-AA-000-0000,cou0002,2009-03-01,3,0,0
AA-AA-000-0000,cou0002,2009-06-01,3,0,0
AA-AA-000-0000,cou0002,2009-09-01,3,0,0
AA-AA-000-0000,cou0002,2009-12-01,3,0,0
AA-AA-000-0000,cou0002,2010-03-01,3,0,0
AA-AA-000-0000,cou0002,2010-06-01,3,0,0
AA-AA-000-0000,cou0002,2010-09-01,3,0,0
AA-AA-000-0000,cou0002,2010-12-01,3,0,0
AA-AA-000-0000,cou0002,2011-03-01,3,0,0
AA-AA-000-0000,cou0002,2011-06-01,3,0,0
AA-AA-000-0000,cou0002,2011-09-01,3,0,0
AA-AA-000-0000,cou0002,2011-12-01,3,0,0
AA-AA-000-0000,cou0002,2012-03-01,3,0,0
AA-AA-000-0000,cou0002,2012-06-01,3,0,0
AA-AA-000-0000,cou0002,2012-09-01,3,0,0
AA-AA-000-0000,cou0002,2012-12-01,3,0,0
AA-AA-000-0000,cou0002,2013-03-01,3,0,0
AA-AA-000-0000,cou0002,2013-06-01,3,0,0
AA-AA-000-0000,cou0002,2013-09-01,3,0,0
AA-AA-000-0000,cou0002,2013-12-01,3,0,0
AA-AA-000-0000,cou0002,2014-03-01,3,0,0
AA-AA-000-0000,cou0002,2014-06-01,3,0,0
AA-AA-000-0000,cou0002,2014-09-01,3,0,0
AA-AA-000-0000,cou0002,2014-12-01,3,0,0
AA-AA-000-0000,cou0002,2015-03-01,3,0,0
AA-AA-000-0000,cou0002,2015-06-01,3,0,0
AA-AA-000-0000,cou0002,2015-09-01,3,0,0
AA-AA-000-0000,cou0002,2015-12-01,3,0,0
AA-AA-000-0000,cou0002,2016-03-01,3,0,0
AA-AA-000-0000,cou0002,2016-06-01,3,0,0
AA-AA-000-0000,cou0002,2016-09-01,3,0,0
AA-AA-000-0000,cou0002,2016-12-01,3,0,0
AA-AA-000-0000,cou0002,2017-03-01,3,0,0
AA-AA-000-0000,cou0002,2017-06-01,3,0,0
AA-AA-000-0000,cou0002,2017-09-01,3,0,0
AA-AA-000-0000,cou0002,2017-12-01,3,0,0
AA-AA-000-0000,cou0002,2018-03-01,3,0,0
AA-AA-000-0000,cou0002,2018-06-01,3,0,0
AA-AA-000-0000,cou0002,2018-09-01,3,0,0
AA-AA-000-0000,cou0002,2018-12-01,3,0,0
AA-AA-000-0000,cou0002,2019-03-01,3,0,0
AA-AA-000-0000,cou0002,2019-06-01,3,0,0
AA-AA-000-0000,cou0002,2019-09-01,3,0,0
AA-AA-000-0000,cou0002,2019-12-01,3,0,0
AA-AA-000-0000,cou0003,2003-12-01,2,0,0
AA-AA-000-0000,cou0003,2004-03-01,3,0,0
AA-AA-000-0000,cou0003,2004-06-01,3,0,0
AA-AA-000-0000,cou0003,2004-09-01,3,0,0
AA-AA-000-0000,cou0003,2004-12-01,3,0,0
AA-AA-000-0000,cou0003,2005-03-01,3,0,0
AA-AA-000-0000,cou0003,2005-06-01,3,0,0
AA-AA-000-0000,cou0003,2005-09-01,3,0,0
AA-AA-000-0000,cou0003,2005-12-01,3,0,0
AA-AA-000-0000,cou0003,2006-03-01,3,0,0
AA-AA-000-0000,cou0003,2006-06-01,3,0,0
AA-AA-000-0000,cou0003,2006-09-01,3,0,0
AA-AA-000-0000,cou0003,2006-12-01,3,0,0
AA-AA-000-0000,cou0003,2007-03-01,3,0,0
AA-AA-000-0000,cou0003,2007-06-01,3,0,0
AA-AA-000-0000,cou0003,2007-09-01,3,0,0
AA-AA-000-0000,cou0003,2007-12-01,3,0,0
AA-AA-000-0000,cou0003,2008-03-01,3,0,0
AA-AA-000-0000,cou0003,2008-06-01,3,0,0
AA-AA-000-0000,cou0003,2008-09-01,3,0,0
AA-AA-000-0000,cou0003,2008-12-01,3,0,0
AA-AA-000-0000,cou0003,2009-03-01,3,0,0
AA-AA-000-0000,cou0003,2009-06-01,3,0,0
AA-AA-000-0000,cou0003,2009-09-01,3,0,0
AA-AA-000-0000,cou0003,2009-12-01,3,0,0
AA-AA-000-0000,cou0003,2010-03-01,3,0,0
AA-AA-000-0000,cou0003,2010-06-01,3,0,0
AA-AA-000-0000,cou0003,2010-09-01,3,0,0
AA-AA-000-0000,cou0003,2010-12-01,3,0,0
AA-AA-000-0000,cou0003,2011-03-01,3,0,0
AA-AA-000-0000,cou0003,2011-06-01,3,0,0
AA-AA-000-0000,cou0003,2011-09-01,3,0,0
AA-AA-000-0000,cou0003,2011-12-01,3,0,0
AA-AA-000-0000,cou0003,2012-03-01,3,0,0
AA-AA-000-0000,cou0003,2012-06-01,3,0,0
AA-AA-000-0000,cou0003,2012-09-01,3,0,0
AA-AA-000-0000,cou0003,2012-12-01,3,0,0
AA-AA-000-0000,cou0003,2013-03-01,3,0,0
AA-AA-000-0000,cou0003,2013-06-01,3,0,0
AA-AA-000-0000,cou0003,2013-09-01,3,0,0
AA-AA-000-0000,cou0003,2013-12-01,3,0,0
AA-AA-000-0000,cou0003,2014-03-01,3,0,0
AA-AA-000-0000,cou0003,2014-06-01,3,0,0
AA-AA-000-0000,cou0003,2014-09-01,3,0,0
AA-AA-000-0000,cou0003,2014-12-01,3,0,0
AA-AA-000-0000,cou0003,2015-03-01,3,0,0
AA-AA-000-0000,cou0003,2015-06-01,3,0,0
AA-AA-000-0000,cou0003,2015-09-01,3,0,0
AA-AA-000-0000,cou0003,2015-12-01,3,0,0
AA-AA-000-0000,cou0003,2016-03-01,3,0,0
AA-AA-000-0000,cou0003,2016-06-01,3,0,0
AA-AA-000-0000,cou0003,2016-09-01,3,0,0
AA-AA-000-0000,cou0003,2016-12-01,3,0,0
AA-AA-000-0000,cou0003,2017-03-01,3,0,0
AA-AA-000-0000,cou0003,2017-06-01,3,0,0
AA-AA-000-0000,cou0003,2017-09-01,3,0,0
AA-AA-000-0000,cou0003,2017-12-01,3,0,0
AA-AA-000-0000,cou0003,2018-03-01,3,0,0
AA-AA-000-0000,cou0003,2018-06-01,3,0,0
AA-AA-000-0000,cou0003,2018-09-01,3,0,0
AA-AA-000-0000,cou0003,2018-12-01,3,0,0
AA-AA-000-0000,cou0003,2019-03-01,3,0,0
AA-AA-000-0000,cou0003,2019-06-01,3,0,0
AA-AA-000-0000,cou0003,2019-09-01,3,0,0
AA-AA-000-0000,cou0003,2019-12-01,3,0,0
AA-AA-000-0000,cou0004,2003-12-01,2,0,0
AA-AA-000-0000,cou0004,2004-03-01,3,0,0
AA-AA-000-0000,cou0004,2004-06-01,3,0,0
AA-AA-000-0000,cou0004,2004-09-01,3,0,0
AA-AA-000-0000,cou0004,2004-12-01,3,0,0
AA-AA-000-0000,cou0004,2005-03-01,3,0,0
AA-AA-000-0000,cou0004,2005-06-01,3,0,0
AA-AA-000-0000,cou0004,2005-09-01,3,0,0
AA-AA-000-0000,cou0004,2005-12-01,3,0,0
AA-AA-000-0000,cou0004,2006-03-01,3,0,0
AA-AA-000-0000,cou0004,2006-06-01,3,0,0
AA-AA-000-0000,cou0004,2006-09-01,3,0,0
AA-AA-000-0000,cou0004,2006-12-01,3,0,0
AA-AA-000-0000,cou0004,2007-03-01,3,0,0
AA-AA-000-0000,cou0004,2007-06-01,3,0,0
AA-AA-000-0000,cou0004,2007-09-01,3,0,0
AA-AA-000-0000,cou0004,2007-12-01,3,0,0
AA-AA-000-0000,cou0004,2008-03-01,3,0,0
AA-AA-000-0000,cou0004,2008-06-01,3,0,0
AA-AA-000-0000,cou0004,2008-09-01,3,0,0
AA-AA-000-0000,cou0004,2008-12-01,3,0,0
AA-AA-000-0000,cou0004,2009-03-01,3,0,0
AA-AA-000-0000,cou0004,2009-06-01,3,0,0
AA-AA-000-0000,cou0004,2009-09-01,3,0,0
AA-AA-000-0000,cou0004,2009-12-01,3,0,0
AA-AA-000-0000,cou0004,2010-03-01,3,0,0
AA-AA-000-0000,cou0004,2010-06-01,3,0,0
AA-AA-000-0000,cou0004,2010-09-01,3,0,0
AA-AA-000-0000,cou0004,2010-12-01,3,0,0
AA-AA-000-0000,cou0004,2011-03-01,3,0,0
AA-AA-000-0000,cou0004,2011-06-01,3,0,0
AA-AA-000-0000,cou0004,2011-09-01,3,0,0
AA-AA-000-0000,cou0004,2011-12-01,3,0,0
AA-AA-000-0000,cou0004,2012-03-01,3,0,0
AA-AA-000-0000,cou0004,2012-06-01,3,0,0
AA-AA-000-0000,cou0004,2012-09-01,3,0,0
AA-AA-000-0000,cou0004,2012-12-01,3,0,0
AA-AA-000-0000,cou0004,2013-03-01,3,0,0
AA-AA-000-0000,cou0004,2013-06-01,3,0,0
AA-AA-000-0000,cou0004,2013-09-01,3,0,0
AA-AA-000-0000,cou0004,2013-12-01,3,0,0
AA-AA-000-0000,cou0004,2014-03-01,3,0,0
AA-AA-000-0000,cou0004,2014-06-01,3,0,0
AA-AA-000-0000,cou0004,2014-09-01,3,0,0
AA-AA-000-0000,cou0004,2014-12-01,3,0,0
AA-AA-000-0000,cou0004,2015-03-01,3,0,0
AA-AA-000-0000,cou0004,2015-06-01,3,0,0
AA-AA-000-0000,cou0004,2015-09-01,3,0,0
AA-AA-000-0000,cou0004,2015-12-01,3,0,0
AA-AA-000-0000,cou0004,2016-03-01,3,0,0
AA-AA-000-0000,cou0004,2016-06-01,3,0,0
AA-AA-000-0000,cou0004,2016-09-01,3,0,0
AA-AA-000-0000,cou0004,2016-12-01,3,0,0
AA-AA-000-0000,cou0004,2017-03-01,3,0,0
AA-AA-000-0000,cou0004,2017-06-01,3,0,0
AA-AA-000-0000,cou0004,2017-09-01,3,0,0
AA-AA-000-0000,cou0004,2017-12-01,3,0,0
AA-AA-000-0000,cou0004,2018-03-01,3,0,0
AA-AA-000-0000,cou0004,2018-06-01,3,0,0
AA-AA-000-0000,cou0004,2018-09-01,3,0,0
AA-AA-000-0000,cou0004,2018-12-01,3,0,0
AA-AA-000-0000,cou0004,2019-03-01,3,0,0
AA-AA-000-0000,cou0004,2019-06-01,3,0,0
AA-AA-000-0000,cou0004,2019-09-01,3,0,0
AA-AA-000-0000,cou0004,2019-12-01,3,0,0
AA-AA-000-0000,cou0005,2003-12-01,2,0,0
AA-AA-000-0000,cou0005,2004-03-01,2,0,0
AA-AA-000-0000,cou0005,2004-06-01,3,0,0
AA-AA-000-0000,cou0005,2004-09-01,3,0,0
AA-AA-000-0000,cou0005,2004-12-01,3,0,0
AA-AA-000-0000,cou0005,2005-03-01,3,0,0
AA-AA-000-0000,cou0005,2005-06-01,3,0,0
AA-AA-000-0000,cou0005,2005-09-01,3,0,0
AA-AA-000-0000,cou0005,2005-12-01,3,0,0
AA-AA-000-0000,cou0005,2006-03-01,3,0,0
AA-AA-000-0000,cou0005,2006-06-01,3,0,0
AA-AA-000-0000,cou0005,2006-09-01,3,0,0
AA-AA-000-0000,cou0005,2006-12-01,3,0,0
AA-AA-000-0000,cou0005,2007-03-01,3,0,0
AA-AA-000-0000,cou0005,2007-06-01,3,0,0
AA-AA-000-0000,cou0005,2007-09-01,3,0,0
AA-AA-000-0000,cou0005,2007-12-01,3,0,0
AA-AA-000-0000,cou0005,2008-03-01,3,0,0
AA-AA-000-0000,cou0005,2008-06-01,3,0,0
AA-AA-000-0000,cou0005,2008-09-01,3,0,0
AA-AA-000-0000,cou0005,2008-12-01,3,0,0
AA-AA-000-0000,cou0005,2009-03-01,3,0,0
AA-AA-000-0000,cou0005,2009-06-01,3,0,0
AA-AA-000-0000,cou0005,2009-09-01,3,0,0
AA-AA-000-0000,cou0005,2009-12-01,3,0,0
AA-AA-000-0000,cou0005,2010-03-01,3,0,0
AA-AA-000-0000,cou0005,2010-06-01,3,0,0
AA-AA-000-0000,cou0005,2010-09-01,3,0,0
AA-AA-000-0000,cou0005,2010-12-01,3,0,0
AA-AA-000-0000,cou0005,2011-03-01,3,0,0
AA-AA-000-0000,cou0005,2011-06-01,3,0,0
AA-AA-000-0000,cou0005,2011-09-01,3,0,0
AA-AA-000-0000,cou0005,2011-12-01,3,0,0
AA-AA-000-0000,cou0005,2012-03-01,3,0,0
AA-AA-000-0000,cou0005,2012-06-01,3,0,0
AA-AA-000-0000,cou0005,2012-09-01,3,0,0
AA-AA-000-0000,cou0005,2012-12-01,3,0,0
AA-AA-000-0000,cou0005,2013-03-01,3,0,0
AA-AA-000-0000,cou0005,2013-06-01,3,0,0
AA-AA-000-0000,cou0005,2013-09-01,3,0,0
AA-AA-000-0000,cou0005,2013-12-01,3,0,0
AA-AA-000-0000,cou0005,2014-03-01,3,0,0
AA-AA-000-0000,cou0005,2014-06-01,3,0,0
AA-AA-000-0000,cou0005,2014-09-01,3,0,0
AA-AA-000-0000,cou0005,2014-12-01,3,0,0
AA-AA-000-0000,cou0005,2015-03-01,3,0,0
AA-AA-000-0000,cou0005,2015-06-01,3,0,0
AA-AA-000-0000,cou0005,2015-09-01,3,0,0
AA-AA-000-0000,cou0005,2015-12-01,3,0,0
AA-AA-000-0000,cou0005,2016-03-01,3,0,0
AA-AA-000-0000,cou0005,2016-06-01,3,0,0
AA-AA-000-0000,cou0005,2016-09-01,3,0,0
AA-AA-000-0000,cou0005,2016-12-01,3,0,0
AA-AA-000-0000,cou0005,2017-03-01,3,0,0
AA-AA-000-0000,cou0005,2017-06-01,3,0,0
AA-AA-000-0000,cou0005,2017-09-01,3,0,0
AA-AA-000-0000,cou0005,2017-12-01,3,0,0
AA-AA-000-0000,cou0005,2018-03-01,3,0,0
AA-AA-000-0000,cou0005,2018-06-01,3,0,0
AA-AA-000-0000,cou0005,2018-09-01,3,0,0
AA-AA-000-0000,cou0005,2018-12-01,3,0,0
AA-AA-000-0000,cou0005,2019-03-01,3,0,0
AA-AA-000-0000,cou0005,2019-06-01,3,0,0
AA-AA-000-0000,cou0005,2019-09-01,3,0,0
AA-AA-000-0000,cou0005,2019-12-01,3,0,0
AA-AA-000-0000,cou0006,2003-12-01,2,,
AA-AA-000-0000,cou0006,2004-03-01,3,,
AA-AA-000-0000,cou0006,2004-06-01,3,,
AA-AA-000-0000,cou0006,2004-09-01,3,0,0
AA-AA-000-0000,cou0006,2004-12-01,3,0,0
AA-AA-000-0000,cou0006,2005-03-01,3,0,0
AA-AA-000-0000,cou0006,2005-06-01,3,0,0
AA-AA-000-0000,cou0006,2005-09-01,3,0,0
AA-AA-000-0000,cou0006,2005-12-01,3,0,0
AA-AA-000-0000,cou0006,2006-03-01,3,0,0
AA-AA-000-0000,cou0006,2006-06-01,3,0,0
AA-AA-000-0000,cou0006,2006-09-01,3,0,0
AA-AA-000-0000,cou0006,2006-12-01,3,0,0
AA-AA-000-0000,cou0006,2007-03-01,3,0,0
AA-AA-000-0000,cou0006,2007-06-01,3,0,0
AA-AA-000-0000,cou0006,2007-09-01,3,0,0
AA-AA-000-0000,cou0006,2007-12-01,3,0,0
AA-AA-000-0000,cou0006,2008-03-01,3,0,0
AA-AA-000-0000,cou0006,2008-06-01,3,0,0
AA-AA-000-0000,cou0006,2008-09-01,3,0,0
AA-AA-000-0000,cou0006,2008-12-01,3,0,0
AA-AA-000-0000,cou0006,2009-03-01,3,0,0
AA-AA-000-0000,cou0006,2009-06-01,3,0,0
AA-AA-000-0000,cou0006,2009-09-01,3,0,0
AA-AA-000-0000,cou0006,2009-12-01,3,0,0
AA-AA-000-0000,cou0006,2010-03-01,3,0,0
AA-AA-000-0000,cou0006,2010-06-01,3,0,0
AA-AA-000-0000,cou0006,2010-09-01,3,0,0
AA-AA-000-0000,cou0006,2010-12-01,3,0,0
AA-AA-000-0000,cou0006,2011-03-01,3,0,0
AA-AA-000-0000,cou0006,2011-06-01,3,0,0
AA-AA-000-0000,cou0006,2011-09-01,3,0,0
AA-AA-000-0000,cou0006,2011-12-01,3,0,0
AA-AA-000-0000,cou0006,2012-03-01,3,0,0
AA-AA-000-0000,cou0006,2012-06-01,3,0,0
AA-AA-000-0000,cou0006,2012-09-01,3,0,0
AA-AA-000-0000,cou0006,2012-12-01,3,0,0
AA-AA-000-0000,cou0006,2013-03-01,3,0,0
AA-AA-000-0000,cou0006,2013-06-01,3,0,0
AA-AA-000-0000,cou0006,2013-09-01,3,0,0
AA-AA-000-0000,cou0006,2013-12-01,3,0,0
AA-AA-000-0000,cou0006,2014-03-01,3,0,0
AA-AA-000-0000,cou0006,2014-06-01,3,0,0
AA-AA-000-0000,cou0006,2014-09-01,3,0,0
AA-AA-000-0000,cou0006,2014-12-01,3,0,0
AA-AA-000-0000,cou0006,2015-03-01,3,0,0
AA-AA-000-0000,cou0006,2015-06-01,3,0,0
AA-AA-000-0000,cou0006,2015-09-01,3,0,0
AA-AA-000-0000,cou0006,2015-12-01,3,0,0
AA-AA-000-0000,cou0006,2016-03-01,3,0,0
AA-AA-000-0000,cou0006,2016-06-01,3,0,0
AA-AA-000-0000,cou0006,2016-09-01,3,0,0
AA-AA-000-0000,cou0006,2016-12-01,3,0,0
AA-AA-000-0000,cou0006,2017-03-01,3,0,0
AA-AA-000-0000,cou0006,2017-06-01,3,0,0
AA-AA-000-0000,cou0006,2017-09-01,3,0,0
AA-AA-000-0000,cou0006,2017-12-01,3,0,0
AA-AA-000-0000,cou0006,2018-03-01,3,0,0
AA-AA-000-0000,cou0006,2018-06-01,3,0,0
AA-AA-000-0000,cou0006,2018-09-01,3,0,0
AA-AA-000-0000,cou0006,2018-12-01,3,0,0
AA-AA-000-0000,cou0006,2019-03-01,3,0,0
AA-AA-000-0000,cou0006,2019-06-01,3,0,0
AA-AA-000-0000,cou0006,2019-09-01,3,0,0
AA-AA-000-0000,cou0006,2019-12-01,3,0,0
AA-AA-000-0000,cou0007,2003-12-01,2,,
AA-AA-000-0000,cou0007,2004-03-01,3,,
AA-AA-000-0000,cou0007,2004-06-01,3,,
AA-AA-000-0000,cou0007,2004-09-01,3,0,0
AA-AA-000-0000,cou0007,2004-12-01,3,0,0
AA-AA-000-0000,cou0007,2005-03-01,3,0,0
AA-AA-000-0000,cou0007,2005-06-01,3,0,0
AA-AA-000-0000,cou0007,2005-09-01,3,0,0
AA-AA-000-0000,cou0007,2005-12-01,3,0,0
AA-AA-000-0000,cou0007,2006-03-01,3,0,0
AA-AA-000-0000,cou0007,2006-06-01,3,0,0
AA-AA-000-0000,cou0007,2006-09-01,3,0,0
AA-AA-000-0000,cou0007,2006-12-01,3,0,0
AA-AA-000-0000,cou0007,2007-03-01,3,0,0
AA-AA-000-0000,cou0007,2007-06-01,3,0,0
AA-AA-000-0000,cou0007,2007-09-01,3,0,0
AA-AA-000-0000,cou0007,2007-12-01,3,0,0
AA-AA-000-0000,cou0007,2008-03-01,3,0,0
AA-AA-000-0000,cou0007,2008-06-01,3,0,0
AA-AA-000-0000,cou0007,2008-09-01,3,0,0
AA-AA-000-0000,cou0007,2008-12-01,3,0,0
AA-AA-000-0000,cou0007,2009-03-01,3,0,0
AA-AA-000-0000,cou0007,2009-06-01,3,0,0
AA-AA-000-0000,cou0007,2009-09-01,3,0,0
AA-AA-000-0000,cou0007,2009-12-01,3,0,0
AA-AA-000-0000,cou0007,2010-03-01,3,0,0
AA-AA-000-0000,cou0007,2010-06-01,3,1,0
AA-AA-000-0000,cou0007,2010-09-01,3,0,0
AA-AA-000-0000,cou0007,2010-12-01,3,0,0
AA-AA-000-0000,cou0007,2011-03-01,3,0,0
AA-AA-000-0000,cou0007,2011-06-01,3,0,0
AA-AA-000-0000,cou0007,2011-09-01,3,0,0
AA-AA-000-0000,cou0007,2011-12-01,3,0,0
AA-AA-000-0000,cou0007,2012-03-01,3,0,0
AA-AA-000-0000,cou0007,2012-06-01,3,0,0
AA-AA-000-0000,cou0007,2012-09-01,3,0,0
AA-AA-000-0000,cou0007,2012-12-01,3,0,0
AA-AA-000-0000,cou0007,2013-03-01,3,0,0
AA-AA-000-0000,cou0007,2013-06-01,3,0,0
AA-AA-000-0000,cou0007,2013-09-01,3,0,0
AA-AA-000-0000,cou0007,2013-12-01,3,0,0
AA-AA-000-0000,cou0007,2014-03-01,3,0,0
AA-AA-000-0000,cou0007,2014-06-01,3,0,0
AA-AA-000-0000,cou0007,2014-09-01,3,0,0
AA-AA-000-0000,cou0007,2014-12-01,3,0,0
AA-AA-000-0000,cou0007,2015-03-01,3,0,0
AA-AA-000-0000,cou0007,2015-06-01,3,0,0
AA-AA-000-0000,cou0007,2015-09-01,3,0,0
AA-AA-000-0000,cou0007,2015-12-01,3,0,0
AA-AA-000-0000,cou0007,2016-03-01,3,0,0
AA-AA-000-0000,cou0007,2016-06-01,3,0,0
AA-AA-000-0000,cou0007,2016-09-01,3,0,0
AA-AA-000-0000,cou0007,2016-12-01,3,0,0
AA-AA-000-0000,cou0007,2017-03-01,3,0,0
AA-AA-000-0000,cou0007,2017-06-01,3,0,0
AA-AA-000-0000,cou0007,2017-09-01,3,0,0
AA-AA-000-0000,cou0007,2017-12-01,3,0,0
AA-AA-000-0000,cou0007,2018-03-01,3,0,0
AA-AA-000-0000,cou0007,2018-06-01,3,0,0
AA-AA-000-0000,cou0007,2018-09-01,3,0,0
AA-AA-000-0000,cou0007,2018-12-01,3,0,0
AA-AA-000-0000,cou0007,2019-03-01,3,0,0
AA-AA-000-0000,cou0007,2019-06-01,3,0,0
AA-AA-000-0000,cou0007,2019-09-01,3,0,0
AA-AA-000-0000,cou0007,2019-12-01,3,0,0
AA-AA-000-0000,kri0001,2003-12-01,6,1,0
AA-AA-000-0000,kri0001,2004-03-01,17,2,0
AA-AA-000-0000,kri0001,2004-06-01,29,3,0
AA-AA-000-0000,kri0001,2004-09-01,49,2,1
AA-AA-000-0000,kri0001,2004-12-01,58,1,2
AA-AA-000-0000,kri0001,2005-03-01,63,1,2
AA-AA-000-0000,kri0001,2005-06-01,70,1,2
AA-AA-000-0000,kri0001,2005-09-01,83,,
AA-AA-000-0000,kri0001,2005-12-01,90,,
AA-AA-000-0000,kri0001,2006-03-01,95,,
AA-AA-000-0000,kri0001,2006-06-01,100,,
AA-AA-000-0000,kri0001,2006-09-01,109,,
AA-AA-000-0000,kri0001,2006-12-01,116,,
AA-AA-000-0000,kri0001,2007-03-01,119,,
AA-AA-000-0000,kri0001,2007-06-01,121,,
AA-AA-000-0000,kri0001,2007-09-01,125,,
AA-AA-000-0000,kri0001,2007-12-01,129,,
AA-AA-000-0000,kri0001,2008-03-01,129,,
AA-AA-000-0000,kri0001,2008-06-01,134,,
AA-AA-000-0000,kri0001,2008-09-01,134,,
AA-AA-000-0000,kri0001,2008-12-01,136,,
AA-AA-000-0000,kri0001,2009-03-01,137,,
AA-AA-000-0000,kri0001,2009-06-01,139,,
AA-AA-000-0000,kri0001,2009-09-01,145,,
AA-AA-000-0000,kri0001,2009-12-01,145,,
AA-AA-000-0000,kri0001,2010-03-01,145,6,2
AA-AA-000-0000,kri0001,2010-06-01,147,8,2
